corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
BBD316,Sectoral Asset Management Limited,BBD337,PFUND Jerome,,"1,4,9"
BBD316,Sectoral Asset Management Limited,BBD319,SJOSTROM Michael Lars,,"1,4,9"
BBD316,Sectoral Asset Management Limited,BFY115,ZHANG Yingdong,張穎冬,"1,4"
BBE413,SIFT Capital Partners Limited,AQR043,CHEN Tian,陳添,9
BBE413,SIFT Capital Partners Limited,BBE448,ZHANG Zhe,張哲,9
BBG536,Spring Asset Management Limited,BOG537,CHAN Chun Tung,陳振東,9
BBG536,Spring Asset Management Limited,AME645,CHUNG Wai Fai,鍾偉輝,9
BBG536,Spring Asset Management Limited,BVI967,WANG Junsong,王峻松,9
BBG556,Sinostar Asset Management Limited,BFY425,CHOW Leung Chi,周良智,"4,9"
BBG556,Sinostar Asset Management Limited,ACP182,"LI Pou Hing, Paul",李普慶,"4,9"
BBX176,Swiss International Asset Management Limited,BBX181,ARZNER Cyrill,,"4,9"
BBX176,Swiss International Asset Management Limited,BOK759,GSCHWEND Marco,,"4,9"
BBX176,Swiss International Asset Management Limited,ANP500,YUNG Wai Sing,容渭星,"4,9"
BCC538,Sun Life Asset Management (HK) Limited,ARN439,HEUNG Man Wa,香敏華,4
BCC538,Sun Life Asset Management (HK) Limited,BTB642,KUNG Ada Wai Yi,龔偉怡,4
BCC538,Sun Life Asset Management (HK) Limited,ASS671,"LAU Yee Ho, Roger",劉以浩,"4,9"
BCC538,Sun Life Asset Management (HK) Limited,AXO985,WONG Anson King Lung,黃勁龍,9
BCP220,Symmetry Investments (Hong Kong) Limited,BHL110,CHEUNG Brian,張家豪,9
BCP220,Symmetry Investments (Hong Kong) Limited,AXN927,GUO Feng,,9
BCP220,Symmetry Investments (Hong Kong) Limited,ASQ019,ROBINSON Michael Bailey,,9
BDW665,Sprout Asset Management (Asia) Limited,BLL144,KAM Chor Wai,金楚威,6
BDW665,Sprout Asset Management (Asia) Limited,AVK467,MAK Terence Chung Sing,麥頌聲,6
BDW782,Seazen Resources Asset Management Limited,BJM332,HUI Ka Yu,許嘉宇,"4,9"
