corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
AOA508,Abridge Enterprises Company Limited,AEY359,"LAI Wing Sze, Teresa Francesca",Wing,"Wing Sze, Teresa Francesca",Lai,賴詠詩,"4,9"
AOA508,Abridge Enterprises Company Limited,BJQ776,ZHANG Shujuan,Shujuan,Shujuan,Zhang,張淑娟,"4,9"
AOR149,Abax Global Capital (Hong Kong) Limited,ARV902,LIN Shen,Shen,Shen,Lin,林深,9
AOR149,Abax Global Capital (Hong Kong) Limited,BDA087,WANG Michael Chou,Michael Chou,Michael Chou,Wang,王炬,9
AOR149,Abax Global Capital (Hong Kong) Limited,AFS530,YANG Xiang Dong,Xiang Dong,Xiang Dong,Yang,楊向東,9
APR560,Arta Global Markets Limited,ANH674,LAU Fu Wing,Fu Wing,Fu Wing,Lau,劉富榮,"1,4,9"
APR560,Arta Global Markets Limited,AEB584,LEONG Vui Ling,Vui Ling,Vui Ling,Leong,梁偉靈,9
APR560,Arta Global Markets Limited,ALV094,SHUM Ngai Ho,Ngai Ho,Ngai Ho,Shum,沈毅豪,"1,4"
AQR074,Athena Wealth Management Limited,ATO654,LAW Ting Pong,Ting Pong,Ting Pong,Law,羅定邦,"1,9"
AQR074,Athena Wealth Management Limited,AFN289,TSE Danny Lai Kin,Danny,Danny Lai Kin,Tse,謝禮健,"1,4,9"
AQR074,Athena Wealth Management Limited,ADY676,WONG Kah Mun,Kah Mun,Kah Mun,Wong,黃嘉敏,"1,4,9"
AQW828,Arta Asset Management Limited,ASZ667,SHEN Yiqian,Yiqian,Yiqian,Shen,沈亦潜,"1,4,9"
AQW828,Arta Asset Management Limited,BKH363,XING Jiyuan,Jiyuan,Jiyuan,Xing,邢紀原,"1,4,9"
AQW828,Arta Asset Management Limited,AVA631,XU Hao,Hao,Hao,Xu,許昊,"1,4,9"
ARG876,Aspen Hill Partners (Hong Kong) Limited,ACI999,LIM Eric Kian Hoe,Eric,Eric Kian Hoe,Lim,,"4,9"
ARG876,Aspen Hill Partners (Hong Kong) Limited,BAY473,TSENG Po Ming,Po Ming,Po Ming,Tseng,,"4,9"
ARG876,Aspen Hill Partners (Hong Kong) Limited,ART440,"WU Yuan Hui, Wendy",Wendy,Yuan Hui,Wu,吳婉蕙,"4,9"
ARJ340,APG Investments Asia Limited,BNH073,AATEN Thijs,Thijs,Thijs,Aaten,,"1,2,4,9"
ARJ340,APG Investments Asia Limited,ARJ346,AERTS Hans-Martin Joannes Cornelis,Hans-Martin,Hans-Martin Joannes Cornelis,Aerts,,"4,9"
ARJ340,APG Investments Asia Limited,AZA737,DE BOER Patrick,Boer Patrick,Boer Patrick,De,,"1,2"
ARJ340,APG Investments Asia Limited,BIB605,FELDMANN Daniel Thomas,Daniel,Daniel Thomas,Feldmann,,"4,9"
ARJ340,APG Investments Asia Limited,ARA631,HUNG Brian Lap Hei,Brian,Brian Lap Hei,Hung,洪立熙,"4,9"
ARJ340,APG Investments Asia Limited,BRY310,KANTERS Patrick Michael,Patrick,Patrick Michael,Kanters,,"1,4,9"
ARJ340,APG Investments Asia Limited,AHX750,MA Shek Yee,Shek Yee,Shek Yee,Ma,馬錫怡,"4,9"
ARJ340,APG Investments Asia Limited,ALI171,"SUEN Lok Hang, Gregory",Gregory,Lok Hang,Suen,孫樂衡,"4,9"
ARO976,Asia Frontier Investments Limited,ABM870,DE VRIES Pier Christiaan,Vries,Vries Pier Christiaan,De,戴飛,9
ARO976,Asia Frontier Investments Limited,BBP446,DESAI Ruchir Devanshu,Ruchir,Ruchir Devanshu,Desai,,"4,9"
ARO976,Asia Frontier Investments Limited,ACR505,HUGGER Thomas Eugen,Thomas,Thomas Eugen,Hugger,,"4,9"
ARO976,Asia Frontier Investments Limited,BRX426,JOSSI Roland Jakob,Roland,Roland Jakob,Jossi,,"4,9"
ARO976,Asia Frontier Investments Limited,AUX255,VOGELSANGER Andreas,Andreas,Andreas,Vogelsanger,,4
